date,open,high,low,close,Adjusted_close,volume,dividend amount
2012-09-30,15.29,18.5,15.13,16.74,12.6496,510560900.0,0.0
2012-08-31,13.73,15.34,12.98,15.0,11.3348,388590100.0,0.0
2012-07-31,14.61,15.21,12.29,13.66,10.3222,515490500.0,0.05
2012-06-30,12.97,14.61,12.26,14.59,10.9842,602625100.0,0.0
2012-05-31,17.23,17.68,12.81,13.36,10.0582,699975400.0,0.0
2012-04-30,19.64,20.05,16.63,17.28,13.0094,531176000.0,0.05
2012-03-31,18.74,21.19,17.24,19.64,14.7434,602498500.0,0.0
2012-02-29,19.19,20.7,18.2,18.54,13.9176,474076600.0,0.0
2012-01-31,15.76,18.88,15.43,18.65,14.0002,518774900.0,0.05
2011-12-31,14.56,17.5,14.03,15.13,11.3273,646755700.0,0.0
2011-11-30,16.14,17.75,12.86,14.79,11.0727,709168300.0,0.0
2011-10-31,13.54,19.6682,11.58,17.64,13.2064,890744800.0,0.05
2011-09-30,17.5,17.55,12.49,13.51,10.0885,620746500.0,0.0
2011-08-31,22.75,22.86,15.21,17.5,13.0679,706456800.0,0.0
2011-07-31,23.08,24.46,20.18,22.25,16.615,434624700.0,0.05
2011-06-30,24.02,24.05,21.76,23.01,17.1445,374008300.0,0.0
2011-05-31,26.28,26.49,23.33,24.16,18.0013,248611200.0,0.0
2011-04-30,27.4,28.24,25.32,26.15,19.484,250474600.0,0.05
2011-03-31,29.69,29.78,26.7,27.32,20.3159,247822779.0,0.0
2011-02-28,29.54,31.04,28.865,29.68,22.0709,205727800.0,0.0
2011-01-31,27.63,30.25,27.48,29.4,21.8627,345080600.0,0.05
2010-12-31,24.82,27.77,24.73,27.21,20.2003,248603200.0,0.0
2010-11-30,24.95,27.36,24.37,24.46,18.1587,321001100.0,0.0
2010-10-31,24.93,26.23,23.95,24.87,18.4631,338001300.0,0.05
2010-09-30,25.05,27.8,24.18,24.68,18.2846,298774100.0,0.0
2010-08-31,27.43,28.05,24.24,24.69,18.292,228157600.0,0.0
2010-07-31,23.21,27.89,22.4,26.99,19.996,357025800.0,0.05
2010-06-30,26.79,27.39,23.14,23.21,17.1638,368470200.0,0.0
2010-05-31,30.25,30.6,24.76,27.11,20.0478,480372700.0,0.0
2010-04-30,29.46,32.29,28.67,30.22,22.3476,484398200.0,0.05
2010-03-31,28.3,30.79,28.11,29.29,21.6243,387032700.0,0.0
2010-02-28,26.95,28.43,26.15,28.18,20.8048,341901000.0,0.0
2010-01-31,30.7,33.27,26.65,26.78,19.7712,455657800.0,0.05
2009-12-31,31.77,31.97,28.81,29.6,21.8141,266866000.0,0.0
2009-11-30,32.13,34.55,29.99,31.58,23.2733,277394600.0,0.0
2009-10-31,30.67,35.78,28.75,32.12,23.6712,453506300.0,0.05
2009-09-30,28.83,33.3299,27.01,30.88,22.7223,457542200.0,0.0
2009-08-31,28.93,32.0,28.1,28.96,21.3095,367115200.0,0.0
2009-07-31,28.58,29.33,24.85,28.5,20.971,520044000.0,0.05
2009-06-30,30.67,31.988,26.13,28.51,20.9398,620787100.0,0.0
2009-05-31,23.74,30.35,23.69,30.32,22.2692,821979100.0,0.0
2009-04-30,22.19,27.35,20.69,23.64,17.3629,1048608400.0,0.0667
2009-03-31,18.86,27.27,16.12,22.77,16.6712,1269247700.0,0.0
2009-02-28,19.6,24.44,18.11,19.54,14.3063,819625500.0,0.0
2009-01-31,16.01,23.42,13.1,20.23,14.8115,749151800.0,0.27
2008-12-31,13.93,17.93,10.85,16.04,11.6075,622291500.0,0.0
2008-11-30,17.88,19.26,8.8,14.75,10.674,714062900.0,0.0
2008-10-31,22.72,26.73,6.71,17.47,12.6424,1596904700.0,0.27
2008-09-30,41.96,44.5,11.7,23.0,16.4,1353630300.0,0.0
2008-08-31,39.67,46.58,36.2,40.83,29.1135,352754400.0,0.0
2008-07-31,35.48,40.35,29.6,39.48,28.1509,538883900.0,0.27
